End_Date,Portfolio_name,Campaign_Name,Ad_Group_Name,Advertised_SKU,Advertised_ASIN,Impressions,Clicks,Click_Thru_Rate_CTR,Cost_Per_Click_CPC,Spend,7_Day_Total_Sales,Total_Advertising_Cost_of_Sales_ACOS,Total_Return_on_Advertising_Spend_ROAS,7_Day_Total_Orders,7_Day_Total_Units,7_Day_Conversion_Rate,7_Day_Advertised_SKU_Units,7_Day_Other_SKU_Units,7_Day_Advertised_SKU_Sales,7_Day_Other_SKU_Sales
2023-09-18,Halley - ESF,Halley - Campaign 1,Halley - AdGroup 1,HAL-SYN-0000,B0SYNTH0000,195,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-08-14,Halley - ESF,Halley - Campaign 1,Halley - AdGroup 1,HAL-SYN-0000,B0SYNTH0000,175,2,0.0114,0.67,1.34,1.9,0.7053,1.4179,0,0,0.0,0,0,1.9,0
2023-12-04,Halley - ESF,Halley - Campaign 1,Halley - AdGroup 1,HAL-SYN-0000,B0SYNTH0000,2640,34,0.0129,1.3,44.15,67.6,0.6531,1.5311,2,2,0.0588,2,0,67.6,0
2023-01-23,Halley - ESF,Halley - Campaign 1,Halley - AdGroup 1,HAL-SYN-0000,B0SYNTH0000,1205,10,0.0083,0.54,5.38,8.39,0.6412,1.5595,0,0,0.0,0,0,8.39,0
2023-07-31,Halley - ESF,Halley - Campaign 1,Halley - AdGroup 1,HAL-SYN-0000,B0SYNTH0000,592,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-05-01,Halley - ESF,Halley - Campaign 1,Halley - AdGroup 1,HAL-SYN-0000,B0SYNTH0000,897,8,0.0089,0.52,4.15,11.56,0.359,2.7855,0,0,0.0,0,0,11.56,0
2023-07-03,Halley - ESF,Halley - Campaign 1,Halley - AdGroup 1,HAL-SYN-0000,B0SYNTH0000,308,9,0.0292,1.43,12.89,16.81,0.7668,1.3041,0,0,0.0,0,0,16.81,0
2023-09-04,Halley - ESF,Halley - Campaign 1,Halley - AdGroup 1,HAL-SYN-0000,B0SYNTH0000,88,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-01-09,Harveast - ESF,Harveast - Campaign 1,Harveast - AdGroup 2,HAR-SYN-0001,B0SYNTH0001,552,10,0.0181,0.62,6.22,41.01,0.1517,6.5932,2,2,0.2,2,0,41.01,0
2023-11-06,Harveast - ESF,Harveast - Campaign 1,Harveast - AdGroup 2,HAR-SYN-0001,B0SYNTH0001,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-01-16,Harveast - ESF,Harveast - Campaign 1,Harveast - AdGroup 2,HAR-SYN-0001,B0SYNTH0001,1246,2,0.0016,1.34,2.68,4.49,0.5969,1.6754,0,0,0.0,0,0,4.49,0
2023-07-10,Harveast - ESF,Harveast - Campaign 1,Harveast - AdGroup 2,HAR-SYN-0001,B0SYNTH0001,89,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-12-04,Harveast - ESF,Harveast - Campaign 1,Harveast - AdGroup 2,HAR-SYN-0001,B0SYNTH0001,554,2,0.0036,1.49,2.97,29.37,0.1011,9.8889,1,1,0.5,1,0,29.37,0
2023-10-23,Harveast - ESF,Harveast - Campaign 1,Harveast - AdGroup 2,HAR-SYN-0001,B0SYNTH0001,254,2,0.0079,0.69,1.38,3.64,0.3791,2.6377,0,0,0.0,0,0,3.64,0
2023-06-19,Harveast - ESF,Harveast - Campaign 1,Harveast - AdGroup 2,HAR-SYN-0001,B0SYNTH0001,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-11-27,Harveast - ESF,Harveast - Campaign 1,Harveast - AdGroup 2,HAR-SYN-0001,B0SYNTH0001,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-10-02,Bioblas - ESF,BioBlas - Campaign 1,BioBlas - AdGroup 3,BIO-SYN-0002,B0SYNTH0002,725,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-01-02,Bioblas - ESF,BioBlas - Campaign 1,BioBlas - AdGroup 3,BIO-SYN-0002,B0SYNTH0002,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-06-12,Bioblas - ESF,BioBlas - Campaign 1,BioBlas - AdGroup 3,BIO-SYN-0002,B0SYNTH0002,39,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-09-04,Bioblas - ESF,BioBlas - Campaign 1,BioBlas - AdGroup 3,BIO-SYN-0002,B0SYNTH0002,1663,1,0.0006,0.77,0.77,1.83,0.4208,2.3766,0,0,0.0,0,0,1.83,0
2023-03-27,Bioblas - ESF,BioBlas - Campaign 1,BioBlas - AdGroup 3,BIO-SYN-0002,B0SYNTH0002,743,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-07-10,Bioblas - ESF,BioBlas - Campaign 1,BioBlas - AdGroup 3,BIO-SYN-0002,B0SYNTH0002,120,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-07-03,Bioblas - ESF,BioBlas - Campaign 1,BioBlas - AdGroup 3,BIO-SYN-0002,B0SYNTH0002,228,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-12-04,Bioblas - ESF,BioBlas - Campaign 1,BioBlas - AdGroup 3,BIO-SYN-0002,B0SYNTH0002,40,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
