Start Date,End Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales ,7 Day Other SKU Sales 
2023-06-19,2023-06-19,Halley - ESF,USD,Halley - Campaign 1,Halley - AdGroup 1,keyword: protein shaker bottle,Broad,protein shaker bottle,8289,70,0.0084,0.81,56.84,246.56,0.2305,4.3378,9,9,0.1286,9,0,246.56,0
2023-05-01,2023-05-01,Halley - ESF,USD,Halley - Campaign 1,Halley - AdGroup 1,keyword: protein shaker bottle,Exact,protein shaker bottle,68,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-09-11,2023-09-11,Halley - ESF,USD,Halley - Campaign 1,Halley - AdGroup 1,keyword: protein shaker bottle,Phrase,protein shaker bottle,297,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-04-10,2023-04-10,Halley - ESF,USD,Halley - Campaign 1,Halley - AdGroup 1,keyword: air purifier hepa,Phrase,air purifier hepa,82,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-05-22,2023-05-22,Halley - ESF,USD,Halley - Campaign 1,Halley - AdGroup 1,keyword: air purifier hepa,Phrase,air purifier hepa,192,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-04-03,2023-04-03,Halley - ESF,USD,Halley - Campaign 1,Halley - AdGroup 1,keyword: air purifier hepa,Phrase,air purifier hepa,67,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-07-03,2023-07-03,Halley - ESF,USD,Halley - Campaign 1,Halley - AdGroup 1,keyword: premium bath towels,Phrase,premium bath towels,606,3,0.005,0.81,2.44,9.23,0.2644,3.7828,0,0,0.0,0,0,9.23,0
2023-10-30,2023-10-30,Halley - ESF,USD,Halley - Campaign 1,Halley - AdGroup 1,keyword: premium bath towels,Exact,premium bath towels,189,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-04-03,2023-04-03,Halley - ESF,USD,Halley - Campaign 1,Halley - AdGroup 1,keyword: premium bath towels,Phrase,premium bath towels,129,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-10-02,2023-10-02,Halley - ESF,USD,Halley - Campaign 1,Halley - AdGroup 1,keyword: baby soft towel,Phrase,baby soft towel,683,1,0.0015,1.41,1.41,3.62,0.3895,2.5674,0,0,0.0,0,0,3.62,0
2023-06-26,2023-06-26,Halley - ESF,USD,Halley - Campaign 1,Halley - AdGroup 1,keyword: baby soft towel,Phrase,baby soft towel,898,9,0.01,1.47,13.2,21.03,0.6277,1.5932,0,0,0.0,0,0,21.03,0
2023-06-05,2023-06-05,Halley - ESF,USD,Halley - Campaign 1,Halley - AdGroup 1,keyword: baby soft towel,Phrase,baby soft towel,225,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
