Parent_ASIN,Child_ASIN,Title,SKU,Sessions_Mobile_App,Sessions_Mobile_APP_B2B,Sessions_Browser,Sessions_Browser_B2B,Sessions_Total,Sessions_Total_B2B,Session_Percentage_Mobile_App,Session_Percentage_Browser,Session_Percentage_Total,Page_Views_Mobile_App,Page_Views_Browser,Page_Views_Total,Page_Views_Mobile_APP_B2B,Page_Views_Browser_B2B,Page_Views_Total_B2B,Page_Views_Percentage_Mobile_App,Page_Views_Percentage_Browser,Page_Views_Percentage_Total,Page_Views_Percentage_Mobile_App_B2B,Page_Views_Percentage_Browser_B2B,Page_Views_Percentage_Total_B2B,Session_Percentage_Mobile_APP_B2B,Session_Percentage_Browser_B2B,Session_Percentage_Total_B2B,Featured_Offer_Buy_Box_Percentage,Featured_Offer_Buy_Box_Percentage_B2B,Units_Ordered,Units_Ordered_B2B,Unit_Session_Percentage,Unit_Session_Percentage_B2B,Ordered_Product_Sales,Ordered_Product_Sales_B2B,Total_Order_Items,Total_Order_Items_B2B,Report_Date
B0SYNTH0000,B0SYNTH0000,Halley Home & Kitchen Product 1 - Premium Quality,HAL-SYN-0000,290,0,455,0,746,0,39.0,61.0,100.0,499,782,1282,0,0,0,39.0,61.0,100.0,0,0,0,0,0,0,77.52,0.0,4,0,0.54,0.0,99.96,0.0,4,0,2022-04-04
B0SYNTH0000,B0SYNTH0000,Halley Home & Kitchen Product 1 - Premium Quality,HAL-SYN-0000,573,0,509,0,1083,0,53.0,47.0,100.0,858,761,1620,0,0,0,53.0,47.0,100.0,0,0,0,0,0,0,71.42,0.0,156,0,14.49,0.0,3898.44,0.0,156,0,2023-03-13
B0SYNTH0000,B0SYNTH0000,Halley Home & Kitchen Product 1 - Premium Quality,HAL-SYN-0000,2028,0,1409,0,3438,0,59.0,41.0,100.0,3417,2375,5793,0,0,0,59.0,41.0,100.0,0,0,0,0,0,0,71.48,0.0,37,0,1.08,0.0,924.63,0.0,37,0,2023-11-06
B0SYNTH0000,B0SYNTH0000,Halley Home & Kitchen Product 1 - Premium Quality,HAL-SYN-0000,577,0,271,0,849,0,68.0,32.0,100.0,732,344,1077,0,0,0,68.0,32.0,100.0,0,0,0,0,0,0,32.56,0.0,47,0,5.55,0.0,1174.53,0.0,47,0,2022-09-05
B0SYNTH0000,B0SYNTH0000,Halley Home & Kitchen Product 1 - Premium Quality,HAL-SYN-0000,39,0,68,0,108,0,37.0,63.0,100.0,51,86,138,0,0,0,37.0,63.0,100.0,0,0,0,0,0,0,69.86,0.0,3,0,3.6,0.0,74.97,0.0,3,0,2023-03-06
B0SYNTH0000,B0SYNTH0000,Halley Home & Kitchen Product 1 - Premium Quality,HAL-SYN-0000,100,0,45,0,146,0,69.0,31.0,100.0,157,70,228,0,0,0,69.0,31.0,100.0,0,0,0,0,0,0,6.9,0.0,11,0,8.03,0.0,274.89,0.0,11,0,2022-05-09
B0SYNTH0000,B0SYNTH0000,Halley Home & Kitchen Product 1 - Premium Quality,HAL-SYN-0000,29,0,65,0,95,0,31.0,69.0,100.0,44,97,142,0,0,0,31.0,69.0,100.0,0,0,0,0,0,0,68.57,0.0,1,0,1.59,0.0,24.99,0.0,1,0,2022-12-26
B0SYNTH0000,B0SYNTH0000,Halley Home & Kitchen Product 1 - Premium Quality,HAL-SYN-0000,272,0,167,0,440,0,62.0,38.0,100.0,397,243,641,0,0,0,62.0,38.0,100.0,0,0,0,0,0,0,85.09,0.0,9,0,2.09,0.0,224.91,0.0,9,0,2022-09-12
B0SYNTH0000,B0SYNTH0001,Harveast Grocery Product 2 - Premium Quality,HAR-SYN-0001,36,0,37,0,74,0,49.0,51.0,100.0,49,51,101,0,0,0,49.0,51.0,100.0,0,0,0,0,0,0,41.19,0.0,0,0,0.85,0.0,0.0,0.0,0,0,2023-12-25
B0SYNTH0000,B0SYNTH0001,Harveast Grocery Product 2 - Premium Quality,HAR-SYN-0001,526,0,486,0,1013,0,52.0,48.0,100.0,765,706,1472,0,0,0,52.0,48.0,100.0,0,0,0,0,0,0,62.05,0.0,19,0,1.88,0.0,379.81,0.0,19,0,2023-07-17
